epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1420.04,1.5006,2.48154,1.68028,0.37921,0.38885,0.33388,0.13398,1.84653,3.69314,2.31855,0.000554037,0.000554037,0.000554037
2,2877.26,1.6454,2.23557,1.80507,0.35664,0.40196,0.32117,0.13994,1.93828,2.43663,2.2242,0.00103646,0.00103646,0.00103646
3,4186.64,1.65047,2.06879,1.81323,0.47218,0.50297,0.45371,0.19077,1.79492,2.5006,2.15774,0.00144554,0.00144554,0.00144554
4,5529.11,1.6079,1.97482,1.78174,0.63046,0.45058,0.50506,0.23417,1.72992,2.07988,2.09611,0.00133693,0.00133693,0.00133693
5,6828.17,1.5668,1.8769,1.7325,0.68529,0.55578,0.60493,0.30045,1.63871,1.77007,2.03832,0.00122691,0.00122691,0.00122691
6,8100.88,1.54851,1.74696,1.84439,0.60497,0.5205,0.55826,0.27979,1.65197,1.75341,1.97587,0.00111689,0.00111689,0.00111689
7,9388.13,1.47323,1.57299,1.75721,0.71374,0.62747,0.67646,0.37632,1.52271,1.48483,1.8417,0.00100687,0.00100687,0.00100687
8,10701.9,1.41009,1.42039,1.706,0.66533,0.61998,0.66516,0.38435,1.43296,1.53549,1.77644,0.000896846,0.000896846,0.000896846
9,11993.1,1.35777,1.31672,1.65287,0.76247,0.67528,0.73215,0.41228,1.47133,1.29708,1.79332,0.000786824,0.000786824,0.000786824
10,13251.9,1.31012,1.19609,1.61026,0.79418,0.66971,0.7382,0.43544,1.41299,1.23938,1.7234,0.000676802,0.000676802,0.000676802
11,14508.3,1.25606,1.10286,1.56519,0.81895,0.69059,0.7574,0.47531,1.30839,1.13213,1.61978,0.00056678,0.00056678,0.00056678
12,15759.9,1.21647,1.04169,1.51875,0.80307,0.70629,0.76787,0.48009,1.34043,1.10893,1.64807,0.000456758,0.000456758,0.000456758
13,17017.3,1.17543,0.95662,1.47793,0.83853,0.70632,0.78465,0.49386,1.31189,1.07214,1.6251,0.000346736,0.000346736,0.000346736
14,18281,1.13019,0.91009,1.44756,0.78313,0.74155,0.79055,0.50979,1.29036,1.01063,1.60618,0.000236714,0.000236714,0.000236714
15,19608.8,1.07747,0.85913,1.39943,0.86059,0.70424,0.7954,0.50999,1.28447,1.01467,1.60752,0.000126692,0.000126692,0.000126692
